,Name,Summary,type
24,Forest Golem ,"A race of stone and earth constructs, in which many plants take root.
",Constructs
25,"Gargoyle, Variant ","Living stone constructs made for tasks or protection.
",Constructs
26,Gems ,"An intergalactic race of sentient gemstones.
",Constructs
27,Geotun ,"Cave dwelling genderless rock people.
",Constructs
28,Golett ,"Clay pokemon made to protect
",Constructs
29,"Homunculus, 2nd Variant ","To obtain, something of equal value must be lost. That is alchemy's first law of Equivalent Exchange.
",Constructs
30,"Homunculus, Variant ","An organic construct, created to aid a magic user.
",Constructs
31,Homunculus ,"Homunculi were created by a large merchant empire called Xerxes.
",Constructs
32,Horologermus ,"Mechanical beings born of nature
",Constructs
33,Hyperion ,"Brilliant and haughty psychic constructs from the Astral Plane.
",Constructs
34,Inkbond ,"Shadowy beings formed from the ink of long-forgotten, tarnished books and scrolls by neglect
",Constructs
35,Karakuri ,"A mechanical race, each bound to a small box containing a spirit.
",Constructs
36,Living Grave ,"Undead eating holy constructs.
",Constructs
37,Living Weapon ,"Poor souls fused with magic to be the perfect weapon of destruction.
",Constructs
38,Livingsteel ,"A construct race created by intrepid artificers, completely alive.
",Constructs
39,Machina Infernus ,"Machines of war power with demon flesh and blood
",Constructs
40,Machine Doll ,"Built to last and are moving tanks but that's it, don't go asking one for the meaning of life.
",Constructs
41,Midas Warrior ,"Midas warriors uphold their code from a time long past
",Constructs
42,Modron ,"Beings of clockwork routine and perfect order
",Constructs
43,Nephil ,"The children of earth
",Constructs
44,Onyx Skeleton ,"Skeletons made of onyx
",Constructs
45,Petra Vita ,"Curious and sweet golems born from catastrophe.
",Constructs
46,Ralis ,"Artificially created immortals seeking their place in the world.
",Constructs
47,Savarath ,"Stone creatures who study other races, and have near indestructible limbs.
",Constructs
48,Scarecrow ,"Scarecrows are lost souls, bound to simple material bodies by magic
",Constructs
49,Sentient Weapon (5e Class),"
",Constructs
50,Shade Diamond ,"Crystalline beings with a shade within
",Constructs
51,Shardmind ,"Shardminds are sentient fragments of the Living Gate, which once stood at the pinnacle of the intricate lattice of the Astral Sea.
",Constructs
52,Snowfolk ,"People-shaped snow
",Constructs
53,Soul Stitched ,"Corpses, sewn together by stitches, powered by electricity and given intelligence by a snatched soul.
",Constructs
54,Sword Spirit ,"Sword spirits are created to serve a purpose, whether it be guiding a hero through their prophecy, protecting their weapon, or aiding their creator.
",Constructs
55,Synth ,"Light, sound robots
",Constructs
56,Terminator ,"The Terminator. Badass killing machines from the future with one mission: Terminate humanity
",Constructs
57,Vidreans ,"Life forms that generate themselves inside of large crystals. They're known for their innate magical abilities and many go on to be very powerful with magic.
",Constructs
58,"Warforged, 2nd Variant ","Built for a war that has ended, searching for purpose.
",Constructs
59,"Warforged, 3rd Variant ","Sentient constructs created for the purpose of battle and decimation, or for whatever their creator wishes.
",Constructs
60,"Warforged, 4th Variant ","Built for the job.
",Constructs
61,Wyrwood ,"Small wooden constructs created for servitude
",Constructs
62,YoRHa Android ,"Mechanical constructs that are designed to destroy machines.
",Constructs
1,Deino ,"Small dragons which grow multiple heads
",Dragons
2,"Draak'ar, Variant ","Descendants of cursed dragons who used magic to regain some of their power, at a cost.
",Dragons
3,Draak'ar ,"Descendants of cursed dragons who used magic to regain some of their power, at a cost.
",Dragons
4,Dracogoblin ,"Dracogoblins are typically small, quick to run, and greedy. They act as if they are above other goblins and raiders but often fall into the same lifestyle as them.
",Dragons
5,Dracon ,"Dracons are a race of dragons cursed in the egg to hatch in humanoid form.
",Dragons
6,Draconic Angel ,"A crossbreed between an Angel and a Dragon, Draconic Angels inherit the best of both worlds.
",Dragons
7,Dracotaur ,"Dragon centaurs!
",Dragons
8,Dragon ,"Large, winged, reptilian creatures with a lust for treasure.
",Dragons
9,Dragonfolk ,"Medium-sized agile dragons who excel in spellcasting.
",Dragons
10,Dragovian ,"Draconic Player Race, Winged casters similar to the Dragonborn.
",Dragons
11,Drakiin ,"Eladrin/dragon hybrids.
",Dragons
12,Drakyn ,"Half-Humanoid, Half-Full-Dragon.
",Dragons
13,Faerie Dragon ,"Magical dragons that have eschewed living wild to be closer to more potential targets for their pranks.
",Dragons
14,Fox'smanuh ,"Foxes in the shape of eastern dragons
",Dragons
15,Goodra ,"Joyful, draconic-ooze hybrids who love giving their friends slime-covered hugs.
",Dragons
16,Half-Dragon ,"The spawn of Dragon and of Man.
",Dragons
17,Lati ,"Legendary draconic pokemon that fly through the air at incredible speeds.
",Dragons
18,Manakete ,"A race of draconic humanoids with awesome magical power.
",Dragons
19,Pseudodragon ,"A more intelligent variant of the smallest of dragons.
",Dragons
20,Scalekin ,"Descendants of an ancient race of dragons.
",Dragons
21,Turtonator ,"Very durable dragon turtles
",Dragons
22,Veissux ,"Veissux are strong, lesser fiends with powerful dark magic derived from the depths of the Netherworld.
",Dragons
1,Awakened Weird ,"Elemental weirds given a humanoid form through extreme magics.
",Elementals
2,Azer ,"Tough, dwarf-like elemental beings made of metal and fire.
",Elementals
3,Bonded ,"Creatures born from the Elemental Chaos and ever in flux, these creatures are born alongside their Chaos Die.
",Elementals
4,Callisto ,"A faceless glowing race of liquefied stardust adventurers.
",Elementals
5,Cryslesian ,"A race of sentient crystal creatures who originated from a chaotic plane filled with storms.
",Elementals
6,Death Qaz ,"Death has befallen you but the Shadowfell has raised you above both life and death
",Elementals
7,Elnade ,"Elnade are strong-willed, wise, and attuned to the waters around them.
",Elementals
8,"Fairy, Variant ","Puny manifestations of nature, these eternally young-hearted fey spend their days playing games and pulling pranks.
",Elementals
9,Flamekin ,"Fire elementals born from freak magical accidents.
",Elementals
10,Galeb Duhr ,"A boulderlike creature native to the Elemental Plane of Earth.
",Elementals
11,Genie ,"Phenomenal cosmic powers! Itty bitty living space…
",Elementals
12,Kawari ,"Shadowy elementals of balance
",Elementals
13,Magmin ,"Minature pyromaniacs of the elemental plane of fire.
",Elementals
14,Mana Creature ,"A being made entirely out of magical energy.
",Elementals
15,Manas ,"A race created through the convergence of wandering thoughts, memories, souls, and excessive magical energies.
",Elementals
16,Mobile Water Weird ,"A Mobile Water Weird is a Water Weird put into a special suit, allowing it to move around on land.
",Elementals
17,Mudcrawler ,"Creatures born of mud, that can occasionally animate other mud puddles.
",Elementals
18,Nescerei ,"Daughters of the air
",Elementals
19,Niphin ,"A race of humanoid beings made of solidified magical energy.
",Elementals
20,Novakid ,"Primordial humanoids of pure solar energy that function as small suns.
",Elementals
21,Omegaunt ,"Elementals of necrotic stuffs
",Elementals
22,Roba ,"Elemental scribes that attempt to understand the universe
",Elementals
23,Speiran ,"A race of beings made airy to redeem themselves
",Elementals
24,Vatranite ,"Beings who succeeded a trial... and got punished by losing their bodies.
",Elementals
25,Vihar ,"Vihar are humanoid storm elementals that have a physical form. They can bleed, eat, and sleep like any other humanoid.
",Elementals
26,Xorn ,"Gem-eaters born of the earth elemental plane
",Elementals
1,Ambun ,"The powerful defenders of the castles and fortresses of the Feywild.
",Fey
2,Anthousai ,"Nymphs of flowers that, unlike the dryad, bound themselves to the Material Plane.
",Fey
3,Buttery Sprite ,"Fairies that love butter
",Fey
4,Cartura ,"Small but wise lion-like fey that were cast out of the feywilds by the elves.
",Fey
5,Cervitaur ,"Creatures with hybrid bodies and transient minds.
",Fey
6,Chaik ,"A race of oddly-skinned humanoids that live amongst the races of the Feywild.
",Fey
7,Clefable ,"Odd fey who are elusive until the moon shows
",Fey
8,Concubus ,"A little fiend and a little fey make for an interesting combination.
",Fey
9,Dryad ,"Humanoids made of Wood. Guardians of the Forest. Watchers of Nature.
",Fey
10,Dryquus ,"Horse elf people that resembles satyrs
",Fey
11,"Dullahan, Variant ","You've got a disembodied, floating head!
",Fey
12,Elftaur ,"An elf centaur.
",Fey
13,Fae ,"Fae are charismatic beings, capable of inflicting a lot of damage. They rely heavily on their senses.
",Fey
14,Faerie Elf ,"Good and Bad Fairies, the playable race.
",Fey
15,Faerie Folk ,"Tiny winged folk who hail from the Feywild.
",Fey
16,Faery ,"The diminutive folk of the fey wild, blessed with tasks to keep them busy from otherwise mischievous habits.
",Fey
17,"Fairy, Variant ","Puny manifestations of nature, these eternally young-hearted fey spend their days playing games and pulling pranks.
",Fey
18,Fairy ,"They are shy and reclusive flying fey creature that adores playing tricks and pranks on others.
",Fey
19,Faun ,"A lighthearted and nimble race, Fauns make excellent craftsmen and deadly hunters.
",Fey
20,Fey Mice ,"Fey Mice, properly known as Spirit Guardians, don't actually resemble mice at all. They are fey creatures that quite literally grow on trees, appearing as leaves. When they are ""born"" they polymorph into Tiny humanoid beings.
",Fey
21,Florges ,"Gorgeous fey pokemon that can bring out the hidden power of flowers.
",Fey
22,Granbull ,"Dog-fairies with an intimidating appearance but a timid heart.
",Fey
23,Grovetender ,"Grovetenders are golems made to tend to forests
",Fey
24,Half-Dryad ,"The children of the forest fey.
",Fey
25,Half-Fairy ,"The offspring of a fairy and a mortal.
",Fey
26,Half-Hag ,"Tall and lanky, born from hags who bed mortal men. At least they still retain minor qualities of their hag mothers.
",Fey
27,Headless Angels ,"Reapers born of the headless and the heavenly
",Fey
28,Hengeyokai ,"Animals of longevity and shapeshifting.
",Fey
29,Hüllerenner ,"Raptor-like fey creatures
",Fey
30,Illyrian ,"Powerful winged, mercenary faries
",Fey
31,Kapre ,"A large forest dwelling race of humanoids with an almost barky skin.
",Fey
32,Kender ,"Small and fearless kleptomaniacs
",Fey
33,Kuriboh ,"Seemingly weak, these hairy balls' potential is unleashed when their friends are in danger.
",Fey
34,LeShay ,"An immortal, albino, elf-like fey creature of extraordinary magical power
",Fey
35,Leporidae ,"Rabbit people.
",Fey
36,Leprechaun ,"Leprechauns are odd fey, with one as tall as a human and the other short as a dwarf
",Fey
37,Magicia ,"Magic is a part of your being, down to your core.
",Fey
38,Marunae ,"Mysterious mouthless fey who lurk in the deepest parts of the forest.
",Fey
39,Mimikyu ,"A small, mysterious creature both loved for its short stature and childishly crafted disguise and feared because no one knows what's actually underneath said disguise.
",Fey
40,Moogle ,"Adorable ... plush creatures
",Fey
41,"Nymph, 2nd Variant ","This variant of the keeps a lot from the other Nymph class on this site, however, this variant was to more greatly embrace the Nymphs grace and ability to charm other races.
",Fey
42,Nymph ,"Your nymph character has a variety of supernatural abilities, due to their fey blood.
",Fey
43,Omikyr ,"Fey creatures that vaguely resemble humanoids with the heads of deer.
",Fey
44,Panduri ,"Chimerical fey who are hippies
",Fey
45,Pixie ,"A tiny, mischievous, flying fey.
",Fey
46,Pompup ,"A race of Pomeranian power in bipedal form. Creatures of the fey? Maybe one day, someone might find out.
",Fey
47,Qualf ,"The four-armed qualf are known to be very astute tinkers and smiths because of their great attention to detail
",Fey
48,Quickling ,"Tiny fey that are as fast as they are mischievous.
",Fey
49,Redhnyan ,"Tiny fiddlehead fern fairies.
",Fey
50,Ribombee ,"Small, fey-like pokemon who gather honey and use pollen to both attack their foes and heal their allies.
",Fey
51,Satyr ,"The goatfolk of the woods.
",Fey
52,Spriggan ,"Tree people who sustain themselves with natural magic.
",Fey
53,Sprite ,"In secret groves and shaded glens, tiny sprites with dragonfly wings flutter. For all their fey splendor, however, sprites lack warmth and compassion. They are aggressive and hardy warriors, taking severe measures to ward strangers away from their homes. Interlopers that come too close have their moral character judged, they are put to sleep or frightened off.
",Fey
54,Sprite Warband ,"A swarm of militaristic sprites united under a single banner.
",Fey
55,Sylveon ,"Eevee's arguably most fashionable evolution
",Fey
56,Tau'ri ,"""We dont hunt because we have to, we hunt because we want to, its what we were born to do...""
",Fey
57,Titanian ,"Fey creatures that came from dead goddess Titania's corpse.
",Fey
58,Uroa ,"Uroa are incredibly resilient fey creatures.
",Fey
59,Vector ,"Sea creatures evolved from magic plankton
",Fey
60,Whimsicott ,"Small, free-spirited puffballs known for their mischief-making.
",Fey
61,Wigglytuff ,"Unexpected leaders touched by moonlight
",Fey
62,Wood Giant ,"Standing tall and graceful, they are guardians of the select giant forests
",Fey
1,Alu-Demon ,"Vile, half-demon hybrids spawned from an Abyssal parent.
",Fiends
2,Alu-Fiend ,"Half Succubus/Incubus, Half-Human... What's not to love?
",Fiends
3,Angelic Succubus ,"The familiar demons, with reformed features
",Fiends
4,Aracoi ,"Pure chaos taken a humanoid form, aracoi are beings with scorpion-like tails and horns of various animals.
",Fiends
5,Arrancar ,"The truest form a Hollow can take.
",Fiends
6,Baphomeri ,"The baphomeri are highly intelligent and resilient ovine demons
",Fiends
7,Barghest ,"Fiendish lupine goblins
",Fiends
8,Black Eyes ,"A demonic humanoid with stark black eyes and unusual supernatural capabilities.
",Fiends
9,Blackheart ,"Humans made powerful fiends, seeking revenge and conquest
",Fiends
10,Cambion ,"The children of a fiend and a humanoid, cambions show their parentage through their physical appearance, ability to live comfortably in heated regions that for most would be intolerable and their wicked natures.
",Fiends
11,Chthonic Vampyre ,"Twisted and cast from the infernal wastes to wander the surface lands.
",Fiends
12,Concubus ,"A little fiend and a little fey make for an interesting combination.
",Fiends
13,Daemonii ,"Let these carry your power to swell within your muscles and your rage course through your veins!
",Fiends
14,Devil Gear ,"Mechanical servants born and bred in the Underworld
",Fiends
15,Devilkin ,"Devil/Mortal love baby
",Fiends
16,Endathar ,"Feline creatures that are actually pure demons
",Fiends
17,Half-Devil ,"A being borne of human and a greater devil.
",Fiends
18,Half-Hag ,"Tall and lanky, born from hags who bed mortal men. At least they still retain minor qualities of their hag mothers.
",Fiends
19,Huncubi ,"Essentially a cambion
",Fiends
20,Imp ,"A small shapechanging fiend with a barbed, stinging tail.
",Fiends
21,Incubus/Succubus ,"Beautiful fiends who thrive on the corruption of mortal souls.
",Fiends
22,Kurshisei ,"Demons from the treetops
",Fiends
23,Lucifiend ,"Demons of fallen radiance
",Fiends
24,Machina Infernus ,"Machines of war power with demon flesh and blood
",Fiends
